"year","agency","name_of_not_for_profit"
"2022","Comptroller","National Association of Securities Professionals (NASP) New York Chapter"
"2022","Comptroller","UJA ‐ Federations of New York Capital Gifts and Special Initiatives Division"
"2022","Comptroller","Centro Civico Cultural Dominicano, Inc."
"2022","Comptroller","Chinese‐American Planning Council"
"2022","Comptroller","Forest Hills Jewish Center"
"2022","Comptroller","UJA ‐ Federation of New York Lawyers Division"
"2022","Comptroller","National Association of Securities Professionals (NASP) New York Chapter"
"2022","Comptroller","Alliance of South Asian American Labor (ASAAL)"
"2022","Comptroller","Flushing Chinese Busines Association (FCBA)"
"2022","Comptroller","John D. Calandra Italian American Institute at CUNY"
"2022","Comptroller","NYIC Legisative Breakfast"
"2022","Conflicts of Interest Board","No organizations to report"
"2022","Consumer and Worker Protection (Department of)","No organizations to report"
"2022","Correction (Department of)","No organizations to report"
"2022","Cultural Affairs (Department of)","Friends of Materials for the Arts"
"2022","Design and Construction (Department of)","No organizations to report"
"2022","District Attorney - Bronx County","No organizations to report"
"2022","District Attorney - Kings County","No organizations to report"
"2022","District Attorney - New York County","No organizations to report"
"2022","District Attorney - Queens County","No organizations to report"
"2022","District Attorney - Richmond County","No organizations to report"
"2022","Economic Development Corporation","No organizations to report"
"2022","Education (Department of)","No organizations to report"
"2022","Emergency Management (Office of)","No organizations to report"
"2022","Employees' Retirement System","No organizations to report"
"2022","Environmental Control Board","No organizations to report"
"2022","Environmental Protection (Department of)","Mayor’s Fund to Advance New York City"
"2022","Equal Employment Practices Commission","No organizations to report"
"2022","Finance (Department of)","No organizations to report"
"2022","Financial Information Services Agency / Office of Payroll Administration","No organizations to report"
"2022","Fire Department","FDNY Foundation"
"2022","Fire Pension Fund","No organizations to report"
"2022","Franchise Concession Review Committee","No organizations to report"
"2022","Health and Hospitals Corporation","No organizations to report"
"2022","Health and Mental Hygiene (Department of)","NY Public Library"
"2022","Homeless Services (Department of)","No organizations to report"
"2022","Housing Authority","No organizations to report"
"2022","Housing Development Corporation","No organizations to report"
"2022","Housing Preservation and Development (Department of)","Mayor's Fund to Advance New York City"
"2022","Human Resources Administration","No organizations to report"
"2022","Human Rights Commission","No organizations to report"
"2022","Independent Budget Office","No organizations to report"
"2022","Information Technology and Telecommunications (Department of)","No organizations to report"
"2022","Investigation (Department of)","No organizations to report"
"2022","Labor Relations (Office of)","No organizations to report"
"2022","Landmarks Preservation Commission","Fund for the City of New York"
"2022","Law Department","No organizations to report"
"2022","Management and Budget (Office of)","No organizations to report"
"2022","Mayor's Office","Mayor’s Fund to Advance New York City"
"2022","Mayor's Office","Abisa"
"2022","Mayor's Office","African Communities Together"
"2022","Mayor's Office","Aid for Aids International (Aid for Life)"
"2022","Mayor's Office","AMPHS"
"2022","Mayor's Office","Artists, Athletes, Activists (AAA)"
"2022","Mayor's Office","Coalicion Mexicana"
"2022","Mayor's Office","El Puente"
"2022","Mayor's Office","Gambian Youth Organization"
"2022","Mayor's Office","MASA"
"2022","Mayor's Office","Make the Road NY"
"2022","Mayor's Office","Skyline Charitable Trust"
"2022","Mayor's Office","Team TLC / Grannies Respond"
"2022","Mayor's Office","The Renaissance Technical Institute"
"2022","Mayor's Office","Venezuelan Community Alliance"
"2022","Mayor's Office","Mayor's Fund"
"2022","Mayor's Office","1199 TEF"
"2022","Mayor's Office","CalStart"
"2022","Mayor's Office","City Tech"
"2022","Mayor's Office","CUNY via Hostos"
"2022","Mayor's Office","CUNY Construction Skills Consortium"
"2022","Mayor's Office","Fortune Society"
"2022","Mayor's Office","Montefiore"
"2022","Mayor's Office","The Hope Program"
"2022","Mayor's Office","Youth Build"
"2022","Mayor's Office","Futures and Options"
"2022","Mayor's Office","New York Alliance for Careers in Healthcare"
"2022","Mayor's Office of Contract Services","No organizations to report"
"2022","Mayor's Office of Media and Entertainment","NYC Nightlife United"
"2022","Parks and Recreation (Department of)","New Yorkers for Parks (“NY4P”)"
"2022","Parks and Recreation (Department of)","Bronx River Alliance, Inc."
"2022","Parks and Recreation (Department of)","Fort Tryon Park Trust, Inc."
"2022","Parks and Recreation (Department of)","Alliance for Flushing Meadows Corona Park Corporation"
"2022","Parks and Recreation (Department of)","Forest Park Trust, Inc."
"2022","Parks and Recreation (Department of)","Freshkills Park Alliance, Inc."
"2022","Parks and Recreation (Department of)","Greenbelt Conservancy, Inc."
"2022","Parks and Recreation (Department of)","Historic House Trust, Inc."
"2022","Parks and Recreation (Department of)","Riverside Park Conservancy, Inc."
"2022","Parks and Recreation (Department of)","Van Cortlandt Park Alliance, Inc."
"2022","Parks and Recreation (Department of)","Washington Square Park Conservancy, Inc."
"2022","Police Department","First Responders Children's Foundation"
"2022","Police Department","Harvard Club of New York Foundation"
"2022","Police Department","Jewish Children's Museum"
"2022","Police Department","Major City Chiefs Association"
"2022","Police Department","New York City Police Foundation"
"2022","Police Department","New York Police & Fire Widows' & Children's Benefit Fund"
"2022","Police Department","NYC Law Enforcement Explorers"
"2022","Police Department","NYS Association of Chiefs of Police"
"2022","Police Department","Queens Chamber of Commerce"
"2022","Police Department","Robin Hood Foundation"
"2022","Police Department","Ronald McDonald House New York"
"2022","Police Department","Silver Shield Foundation"
"2022","Police Department","Staten Island Chamber of Commerce"
"2022","Police Department","Tunnels to Towers"
"2022","Police Pension Fund","No organizations to report"
"2022","Probation (Department of)","Trinity Church Wall Street Foundation"
"2022","Procurement Policy Board","No organizations to report"
"2022","Public Advocate","No organizations to report"
"2022","Public Design Commission","No organizations to report"
"2022","Records (Department of)","No organizations to report"
"2022","Rent Guidelines Board","No organizations to report"
"2022","Sanitation (Department of)","The Foundation for New York's Strongest d/b/a Sanitation Foundation"
"2022","School Construction Authority","No organizations to report"
"2022","Small Business Services (Department of)","NYC Business Assistance Corp. (""NYBAC"")"
"2022","Small Business Services (Department of)","Workforce Development Corp. (""WDC"")"
"2022","Special Commissioner of Investigation","No organizations to report"
"2022","Taxi and Limousine Commission","No organizations to report"
"2022","Teachers' Retirement System","No organizations to report"
"2022","Transportation (Department of)","No organizations to report"
"2022","Veteran's Services (Department of)","Fuller Center for Housing"
"2022","Water Board","No organizations to report"
"2022","Youth and Community Development (Department of)","No organizations to report"
"2023","Actuary (Office of)","No organizations to report"
"2023","Administration for Children's Services","The Center"
"2023","Administration for Children's Services","Rising Ground"
"2023","Administration for Children's Services","Mercy First"
"2023","Administration for Children's Services","NYSPCC"
"2023","Administration for Children's Services","The Center"
"2023","Administration for Children's Services","Drama Club"
"2023","Administration for Children's Services","The Children's Village"
"2023","Administration for Children's Services","Covenant House New York"
"2023","Administration for Children's Services","City College of New York"
"2023","Administration for Children's Services","Mount Sinai Adolescent Health Center"
"2023","Administration for Children's Services","Rise"
"2023","Administration for Children's Services","Children's Aid"
"2023","Administration for Children's Services","Rising Ground"
"2023","Administration for Children's Services","Mercy First"
"2023","Administration for Children's Services","NYC Family Policy Project"
"2023","Administration for Children's Services","Interborough Development and Consultation Center (IDCC)"
"2023","Administration for Children's Services","Brooklyn Defender Services"
"2023","Administration for Children's Services","The Bronx Defenders"
"2023","Administration for Children's Services","Center for Family Representation"
"2023","Administration for Children's Services","Spark4Change"
"2023","Administration for Children's Services","NYC Fund to End Youth & Family Homelessness"
"2023","Administration for Children's Services","The Children's Village"
"2023","Administration for Children's Services","Heart Share St. Vincent's"
"2023","Administration for Children's Services","Mercy First"
"2023","Administration for Children's Services","New York Foundling"
"2023","Administration for Children's Services","Anthos Home"
"2023","Administration for Children's Services","Opportunities for a Better Tomorrow (OBT)"
"2023","Administration for Children's Services","The Door"
"2023","Administrative Tax Appeals (Office of)","No organizations to report"
"2023","Administrative Trials and Hearings (Office of)","Restorative Justice Initiative"
"2023","Aging (Department for the)","The Mayor's Fund to Advance New York City"
"2023","Aging (Department for the)","Aging in New York Fund"
"2023","Board of Correction","No organizations to report"
"2023","Board of Education Retirement System","No organizations to report"
"2023","Board of Elections","No organizations to report"
"2023","Board of Standards and Appeals","No organizations to report"
"2023","Borough President - Bronx","The Bronx Overall Economic Development Corporation (BXEDC)"
"2023","Borough President - Brooklyn","Brooklyn For All, Inc."
"2023","Borough President - Brooklyn","Magnolia Tree Earth Center Of Bedford Stuyvesant, Inc."
"2023","Borough President - Manhattan","African Services Committee"
"2023","Borough President - Manhattan","Algemeiner, Inc."
"2023","Borough President - Manhattan","American Museum of Natural History"
"2023","Borough President - Manhattan","Anspacher Theater (The Public Theater)"
"2023","Borough President - Manhattan","Art Beyond Sight (ABS)"
"2023","Borough President - Manhattan","Baruch College"
"2023","Borough President - Manhattan","BioBus"
"2023","Borough President - Manhattan","Borough of Manhattan Community College"
"2023","Borough President - Manhattan","Broadway Housing Communities"
"2023","Borough President - Manhattan","Brooklyn Bridge Manhattan Inc."
"2023","Borough President - Manhattan","Building for the Arts, Inc."
"2023","Borough President - Manhattan","Cayuga Centers, Inc."
"2023","Borough President - Manhattan","Chinese-American Planning Council (CPC)"
"2023","Borough President - Manhattan","Columbia University Mailman School of Public Health"
"2023","Borough President - Manhattan","Columbia University Vagelos College of Physicians and Surgeons"
"2023","Borough President - Manhattan","CUNY SPH Health Equity and Literacy"
"2023","Borough President - Manhattan","Dominican Women's Development Center"
"2023","Borough President - Manhattan","Fordham University's Flourishing in Community (FIC)"
"2023","Borough President - Manhattan","Fortune Society"
"2023","Borough President - Manhattan","Harlem Congregations for Community Improvement, Inc. (HCCI)"
"2023","Borough President - Manhattan","Harlem Gallery of Science"
"2023","Borough President - Manhattan","Hispanic Society of America"
"2023","Borough President - Manhattan","Icahn School of Medicine at Mount Sinai"
"2023","Borough President - Manhattan","IndieSpace"
"2023","Borough President - Manhattan","Isabella Geriatric Center"
"2023","Borough President - Manhattan","Jewish Community Council of Greater Coney Island"
"2023","Borough President - Manhattan","Little Sisters of the Assumption Family Health Service"
"2023","Borough President - Manhattan","Loisaida, Inc."
"2023","Borough President - Manhattan","Manhattan Consortium"
"2023","Borough President - Manhattan","Metropolitan Opera Association Inc"
"2023","Borough President - Manhattan","New York Academy of Medicine"
"2023","Borough President - Manhattan","New York Immigration Coalition (NYIC)"
"2023","Borough President - Manhattan","New York Urban League (NYUL)"
"2023","Borough President - Manhattan","NYC First"
"2023","Borough President - Manhattan","NYC Multicultural Festival"
"2023","Borough President - Manhattan","Project Renewal, Inc."
"2023","Borough President - Manhattan","Randall's Island Park Alliance"
"2023","Borough President - Manhattan","Rebuilding American Infrastructure with Sustainability and Equity (RAISE)"
"2023","Borough President - Manhattan","Riverstone Senior Life Services Inc."
"2023","Borough President - Manhattan","Rocking the Boat"
"2023","Borough President - Manhattan","Saint Augustine's Parish"
"2023","Borough President - Manhattan","St. Mary’s Center, Inc."
"2023","Borough President - Manhattan","Studio Museum of Harlem"
"2023","Borough President - Manhattan","The New 42nd Street"
"2023","Borough President - Manhattan","Police Athletic League, Inc. (PAL)"
"2023","Borough President - Manhattan","Trust for Governor's Island"
"2023","Borough President - Manhattan","United Jewish Council of the East Side"
"2023","Borough President - Manhattan","Welcome to Chinatown Inc."
"2023","Borough President - Manhattan","Westbeth Corp. Housing Development Fund Corp. Inc."
"2023","Borough President - Manhattan","CITYarts"
"2023","Borough President - Queens","AIDS Center of Queens County"
"2023","Borough President - Queens","Allen Community Senior Services Center"
"2023","Borough President - Queens","Alley Pond Environmental Center"
"2023","Borough President - Queens","Alliance for Flushing Meadows Corona Park"
"2023","Borough President - Queens","Auxiliary of City Hospital at Elmhurst"
"2023","Borough President - Queens","Brookville Park Tennis Association"
"2023","Borough President - Queens","Catholic Foundation for Brooklyn and Queens"
"2023","Borough President - Queens","Chinese American Planning Council"
"2023","Borough President - Queens","Chinese Business Association of New York"
"2023","Borough President - Queens","Chocolate Factory Theater"
"2023","Borough President - Queens","Congregation Machane Chodosh"
"2023","Borough President - Queens","Council of Jewish Organizations of Flatbush"
"2023","Borough President - Queens","Council of School Supervisors and Administrators (CSA)"
"2023","Borough President - Queens","Deerfield Area Association"
"2023","Borough President - Queens","Elmcor Youth and Adult Activity"
"2023","Borough President - Queens","Floral Park/Bellerose Indian Merchants Association"
"2023","Borough President - Queens","Flushing Chinese Business Association"
"2023","Borough President - Queens","Flushing Town Hall"
"2023","Borough President - Queens","Forest Hills Jewish Center"
"2023","Borough President - Queens","Foundation for Filipino Artists"
"2023","Borough President - Queens","GatewayJFK"
"2023","Borough President - Queens","Glen Oaks Volunteer Ambulance Corps"
"2023","Borough President - Queens","Greater Allen Development Corporation"
"2023","Borough President - Queens","HANAC"
"2023","Borough President - Queens","HANYC Foundation"
"2023","Borough President - Queens","India Home"
"2023","Borough President - Queens","Italian Charities of America"
"2023","Borough President - Queens","Italian Heritage and Culture Committee of New York"
"2023","Borough President - Queens","Key Women of America"
"2023","Borough President - Queens","King Manor Association of Long Island"
"2023","Borough President - Queens","Kiwanis International (LaGuardia Airport)"
"2023","Borough President - Queens","Korean American Association of Greater New York"
"2023","Borough President - Queens","Korean American Lawyers Association of Greater New York"
"2023","Borough President - Queens","Korean American Presbyterian Church of Queens"
"2023","Borough President - Queens","Korean Community Services of Metropolitan New York"
"2023","Borough President - Queens","Laurelton Memorial Day Parade Committee"
"2023","Borough President - Queens","Lions Club International (District 20-K1)"
"2023","Borough President - Queens","Lions Club International (Laurelton)"
"2023","Borough President - Queens","Lions Club International (Queens Village)"
"2023","Borough President - Queens","Little Neck-Douglaston Memorial Day Parade Association"
"2023","Borough President - Queens","Local 372, NYC Board of Education Employees"
"2023","Borough President - Queens","Make the Grade Foundation"
"2023","Borough President - Queens","Medisys Health Network"
"2023","Borough President - Queens","Mount Horeb Baptist Church"
"2023","Borough President - Queens","NAACP"
"2023","Borough President - Queens","New York Irish Center"
"2023","Borough President - Queens","Organizing Committee for the Flushing Poetry Festival"
"2023","Borough President - Queens","Our Lady of Fatima Roman Catholic Church"
"2023","Borough President - Queens","Ozone Park Residents Block Association (OZPKRBA)"
"2023","Borough President - Queens","Phoenix Houses of Long Island"
"2023","Borough President - Queens","Phoenix Houses of New York"
"2023","Borough President - Queens","Queens & Bronx Building Association"
"2023","Borough President - Queens","Queens Botanical Garden Society"
"2023","Borough President - Queens","Queens Chamber of Commerce"
"2023","Borough President - Queens","Queens County Farm Museum"
"2023","Borough President - Queens","Queens County Women's Bar Association"
"2023","Borough President - Queens","Queens Dominican Parade"
"2023","Borough President - Queens","Queens Jewish Community Council"
"2023","Borough President - Queens","Queens Theatre"
"2023","Borough President - Queens","Ridgewood Volunteer Ambulance Corps"
"2023","Borough President - Queens","Rochdale Village"
"2023","Borough President - Queens","Rockaway Development & Revitalization Corporation"
"2023","Borough President - Queens","Rotary Club of South Queens"
"2023","Borough President - Queens","Services for the UnderServed"
"2023","Borough President - Queens","Shri Navagraha Devasthanam of North America"
"2023","Borough President - Queens","The Dominican Day Parade"
"2023","Borough President - Queens","The Ko-American Harvest Festival Committee"
"2023","Borough President - Queens","The Links (Greater Queens Chapter)"
"2023","Borough President - Queens","Urban Justice Center (Street Vendor Project)"
"2023","Borough President - Queens","Variety Boys & Girls Club of Queens"
"2023","Borough President - Queens","Vaughn College of Aeronautics and Technology"
"2023","Borough President - Queens","VNS Health"
"2023","Borough President - Queens","Volunteers for Springfield Park"
"2023","Borough President - Queens","Women's League for Conservative Judaism (BQLI Region)"
"2023","Borough President - Queens","YWCA of Queens"
"2023","Borough President - Staten Island","No organizations to report"
"2023","Buildings (Department of)","No organizations to report"
"2023","Business Integrity Commission","No organizations to report"
"2023","Campaign Finance Board","No organizations to report"
"2023","Chief Medical Examiner (Office of)","No organizations to report"
"2023","City Clerk (Office of)","No organizations to report"
"2023","City Council District 1","No organizations to report"
"2023","City Council District 10","No organizations to report"
"2023","City Council District 11","No organizations to report"
"2023","City Council District 12","Urban Upbound"
"2023","City Council District 14","No organizations to report"
"2023","City Council District 17","No organizations to report"
"2023","City Council District 18","No organizations to report"
"2023","City Council District 19","No organizations to report"
"2023","City Council District 2","Bellevue Hospital"
"2023","City Council District 2","Women's Prison Association"
"2023","City Council District 2","Loisaida, Inc."
"2023","City Council District 22","Red Cross"
"2023","City Council District 22","Carpenter's Union"
"2023","City Council District 22","Hispanic Federation"
"2023","City Council District 22","Mt Sinai Queens"
"2023","City Council District 22","Arab American Family Support Center"
"2023","City Council District 22","Mason Tenders Union"
"2023","City Council District 23","No organizations to report"
"2023","City Council District 24","No organizations to report"
"2023","City Council District 25","No organizations to report"
"2023","City Council District 26","Queensbridge House Tenant Association"
"2023","City Council District 28","No organizations to report"
"2023","City Council District 29","No organizations to report"
"2023","City Council District 31","Far Rock Strong"
"2023","City Council District 32","No organizations to report"
"2023","City Council District 33","North Brooklyn Parks Alliance"
"2023","City Council District 33","Gowanus Mutual Aid"
"2023","City Council District 33","Community Help in Park Slope, Inc."
"2023","City Council District 33","Dumbo Improvement District"
"2023","City Council District 34","No organizations to report"
"2023","City Council District 35","No organizations to report"
"2023","City Council District 38","No organizations to report"
"2023","City Council District 39","No organizations to report"
"2023","City Council District 4","No organizations to report"
"2023","City Council District 40","No organizations to report"
"2023","City Council District 41","No organizations to report"
"2023","City Council District 46","No organizations to report"
"2023","City Council District 5","Asphalt Green"
"2023","City Council District 50","No organizations to report"
"2023","City Council District 8","No organizations to report"
"2023","City Planning (Department of)","No organizations to report"
"2023","Citywide Administrative Services (Department of)","New York Blood Center"
"2023","Civic Engagement Commission","No organizations to report"
"2023","Civil Service Commission","No organizations to report"
"2023","Civilian Complaint Review Board","No organizations to report"
"2023","Collective Bargaining (Office of)","No organizations to report"
"2023","Comptroller","Fund for the City of New York"
"2023","Conflicts of Interest Board","No organizations to report"
"2023","Consumer and Worker Protection (Department of)","No organizations to report"
"2023","Correction (Department of)","Movember"
"2023","Cultural Affairs (Department of)","Friends of Materials for the Arts"
"2023","Deputy Mayor for Housing, Economic Development, and Workforce","New Destiny Housing"
"2023","Deputy Mayor for Housing, Economic Development, and Workforce","Public Housing Community Fund"
"2023","Design and Construction (Department of)","No organizations to report"
"2023","District Attorney - Bronx Co","No organizations to report"
"2023","District Attorney - Kings Co","No organizations to report"
"2023","District Attorney - New York Co","No organizations to report"
"2023","District Attorney - Queens Co","No organizations to report"
"2023","District Attorney - Richmond Co","No organizations to report"
"2023","Economic Development Corporation","No organizations to report"
"2023","Education (Department of)","No organizations to report"
"2023","Emergency Management (Office of)","No organizations to report"
"2023","Employees' Retirement System","No organizations to report"
"2023","Environmental Control Board (reproted by OATH)","No organizations to report"
"2023","Environmental Protection (Department of)","No organizations to report"
"2023","Equal Employment Practices Commission","No organizations to report"
"2023","Finance (Department of)","No organizations to report"
"2023","Financial Information Services Agency / Office of Payroll Administration","No organizations to report"
"2023","Fire Department","FDNY Foundation"
"2023","Fire Pension Fund","No organizations to report"
"2023","Franchise Concession Review Committee","No organizations to report"
"2023","Health and Hospitals Corporation","No organizations to report"
"2023","Health and Mental Hygiene (Department of)","No organizations to report"
"2023","Housing Authority","No organizations to report"
"2023","Housing Development Corporation","No organizations to report"
"2023","Housing Preservation and Development (Department of)","Mayor's Fund to Advance New York City"
"2023","Human Rights Commission","No organizations to report"
"2023","Independent Budget Office","No organizations to report"
"2023","Information Technology and Telecommunications (Department of)","No organizations to report"
"2023","Investigation (Department of)","No organizations to report"
"2023","Labor Relations (Office of)","No organizations to report"
"2023","Landmarks Preservation Commission","Fund for the City of New York; Archeology Project"
"2023","Law Department","No organizations to report"
"2023","Management and Budget (Office of)","No organizations to report"
"2023","Mayor's Office","Mayor’s Fund to Advance the City of New York"
"2023","Mayor's Office","LiveOnNY, Inc."
"2023","Mayor's Office of Contract Services","No organizations to report"
"2023","Mayor's Office of Criminal Justice","No organizations to report"
"2023","Mayor's Office of Media and Entertainment","No organizations to report"
"2023","Office of Climate and Environmental Justice (MOCEJ)","SUNY Downstate"
"2023","Office of Climate and Environmental Justice (MOCEJ)","Waterfront Alliance"
"2023","Office of Climate and Environmental Justice (MOCEJ)","South Bronx Unite"
"2023","Office of Climate and Environmental Justice (MOCEJ)","Los Angeles Cleantech Incubator"
"2023","Office of Climate and Environmental Justice (MOCEJ)","Sustainable South Bronx"
"2023","Office of Climate and Environmental Justice (MOCEJ)","WE ACT for Environmental Justice"
"2023","Office of Climate and Environmental Justice (MOCEJ)","Borough of Manhattan Community College (BMCC)"
"2023","Office of Climate and Environmental Justice (MOCEJ)","Central Park Conservancy"
"2023","Office of Climate and Environmental Justice (MOCEJ)","CUNY Community College Consortium"
"2023","Office of Talent and Workforce Development","Central Family Life Center"
"2023","Office of Talent and Workforce Development","Change Impact"
"2023","Office of Talent and Workforce Development","Cypress Hills Local Development Corporation"
"2023","Office of Talent and Workforce Development","ExpandED Schools"
"2023","Office of Talent and Workforce Development","ICA Group"
"2023","Office of Talent and Workforce Development","Pursuit"
"2023","Office of Talent and Workforce Development","South Bronx Overall Economic Development Corporation"
"2023","Office of Talent and Workforce Development","Youth Action Programs & Homes"
"2023","Office of Talent and Workforce Development","YouthBuild NYC Collaborative"
"2023","Office of the Chief Advisor to the Mayor","Make Music New York, Inc."
"2023","Office of Urban Agriculture","Green City Force"
"2023","Office of Urban Agriculture","Isabahlia Ladies of Elegance Foundation"
"2023","Office of Urban Agriculture","Lower East Side Ecology Center"
"2023","Office of Urban Agriculture","New York Sun Works"
"2023","Office of Urban Agriculture","The Horticultural Society of New York"
"2023","Parks and Recreation (Department of)","American Museum of Natural History"
"2023","Parks and Recreation (Department of)","BRIC Celebrate Brooklyn!"
"2023","Parks and Recreation (Department of)","Brooklyn Botanical Garden"
"2023","Parks and Recreation (Department of)","Central Park Conservancy"
"2023","Parks and Recreation (Department of)","Fort Greene Park Conservancy"
"2023","Parks and Recreation (Department of)","Gotham Greats"
"2023","Parks and Recreation (Department of)","Historic Harlem Parks Conservancy"
"2023","Parks and Recreation (Department of)","Metropolitan Museum of Art"
"2023","Parks and Recreation (Department of)","Madison Square Park Conservancy"
"2023","Parks and Recreation (Department of)","New Yorkers for Park"
"2023","Parks and Recreation (Department of)","NYC & Company Foundation Inc."
"2023","Parks and Recreation (Department of)","Open House New York"
"2023","Parks and Recreation (Department of)","Public Theater"
"2023","Parks and Recreation (Department of)","Trust for Public Land"
"2023","Parks and Recreation (Department of)","Wildlife Conservation Society"
"2023","Police Department","Alfred E. Smith Memorial Foundation"
"2023","Police Department","Babylon Little League"
"2023","Police Department","Beyond the Badge"
"2023","Police Department","Bronx Chamber of Commerce"
"2023","Police Department","First Responder's Children's Foundation"
"2023","Police Department","Harlem Chamber of Commerce"
"2023","Police Department","John Theissen Children's Foundation"
"2023","Police Department","New York City Hispanic Chamber of Commerce"
"2023","Police Department","New York City Police Foundation"
"2023","Police Department","New York City Tourism Foundation"
"2023","Police Department","New York Police & Fire Widow's & Children's Benefit Fund"
"2023","Police Department","Police Relief Fund"
"2023","Police Department","Ronald McDonald House New York"
"2023","Police Department","Silver Shield Foundation"
"2023","Police Department","Survivors of The Shield Foundation"
"2023","Police Department","Tour de Force"
"2023","Police Department","Tunnels to Towers Foundation"
"2023","Police Pension Fund","No organizations to report"
"2023","Probation (Department of)","No organizations to report"
"2023","Procurement Policy Board","No organizations to report"
"2023","Public Advocate","No organizations to report"
"2023","Public Design Commission","No organizations to report"
"2023","Records (Department of)","New York Archival Society"
"2023","Rent Guidelines Board","No organizations to report"
"2023","Sanitation (Department of)","No organizations to report"
"2023","School Construction Authority","No organizations to report"
"2023","Small Business Services (Department of)","No organizations to report"
"2023","Social Services (Department of)","New Destiny Housing"
"2023","Special Commissioner of Investigation","No organizations to report"
"2023","Taxi and Limousine Commission","No organizations to report"
"2023","Teachers' Retirement System","No organizations to report"
"2023","Transportation (Department of)","No organizations to report"
"2023","Veteran's Services (Department of)","United War Veterans Council"
"2023","Water Board","No organizations to report"
"2023","Youth and Community Development (Department of)","Jacob A. Riis Neighborhood Settlement"
"2023","Youth and Community Development (Department of)","Southern Queens Park Association, Inc."
"2023","Youth and Community Development (Department of)","The Child Center of NY, Inc"
"2023","Youth and Community Development (Department of)","MMCC Mosholu Montefiore Community Center, Inc."
"2023","Youth and Community Development (Department of)","Neighborhood Initiatives Development Corp"
"2023","Youth and Community Development (Department of)","Police Athletic League, Inc."
"2023","Youth and Community Development (Department of)","SCAN-New York Volunteer Parent-Aides Association, Inc."
"2023","Youth and Community Development (Department of)","Community Association of Progressive Dominicans, Inc."
"2023","Youth and Community Development (Department of)","After-School All-Stars"
"2023","Youth and Community Development (Department of)","Aspira of New York, Inc."
"2023","Youth and Community Development (Department of)","Bedford Stuyvesant New Beginnings Charter School"
"2023","Youth and Community Development (Department of)","Black Spectrum Theatre Company Inc"
"2023","Youth and Community Development (Department of)","Boys & Girls Club of Metro Queens, Inc"
"2023","Youth and Community Development (Department of)","BronxWorks, Inc."
"2023","Youth and Community Development (Department of)","Brooklyn Prospect Charter School"
"2023","Youth and Community Development (Department of)","CAMBA, Inc."
"2023","Youth and Community Development (Department of)","Center for Family Life In Sunset Park, Inc."
"2023","Youth and Community Development (Department of)","Child Development Ctr of the Mosholu Montefiore Comm Center"
"2023","Youth and Community Development (Department of)","Children of Promise, NYC"
"2023","Youth and Community Development (Department of)","Childrens Arts & Science Workshops, Inc."
"2023","Youth and Community Development (Department of)","Chinese-American Planning Council Inc"
"2023","Youth and Community Development (Department of)","Claremont Neighborhood Centers, Inc."
"2023","Youth and Community Development (Department of)","Coalition for Hispanic Family Services"
"2023","Youth and Community Development (Department of)","Cypress Hills Local Development Corporation, Inc."
"2023","Youth and Community Development (Department of)","DIVAS for Social Justice, Inc."
"2023","Youth and Community Development (Department of)","East Side House, Inc."
"2023","Youth and Community Development (Department of)","El Puente De Williamsburg, Inc."
"2023","Youth and Community Development (Department of)","Federation of Italian-American Organizations of Brooklyn LTD"
"2023","Youth and Community Development (Department of)","Flatbush Development Corporation"
"2023","Youth and Community Development (Department of)","Fresh Youth Initiatives, Inc."
"2023","Youth and Community Development (Department of)","Friends of Crown Heights Educational Centers Inc"
"2023","Youth and Community Development (Department of)","Girls Incorporated of New York City"
"2023","Youth and Community Development (Department of)","Graham Windham"
"2023","Youth and Community Development (Department of)","Grand Street Settlement, Inc."
"2023","Youth and Community Development (Department of)","Haitian Americans United For Progress, Inc."
"2023","Youth and Community Development (Department of)","HANAC INC"
"2023","Youth and Community Development (Department of)","Hands In 4 Youth Inc"
"2023","Youth and Community Development (Department of)","Henry Street Settlement"
"2023","Youth and Community Development (Department of)","Homes for the Homeless Inc"
"2023","Youth and Community Development (Department of)","Hudson Guild"
"2023","Youth and Community Development (Department of)","Imani House, Inc."
"2023","Youth and Community Development (Department of)","Inwood Community Services, Inc."
"2023","Youth and Community Development (Department of)","Jacob A. Riis Neighborhood Settlement"
"2023","Youth and Community Development (Department of)","Jewish Community Center of Staten Island, Inc."
"2023","Youth and Community Development (Department of)","Jewish Community Council of Greater Coney Island, Inc."
"2023","Youth and Community Development (Department of)","Kingsbridge Heights Community Center Inc"
"2023","Youth and Community Development (Department of)","Kips Bay Boys and Girls Club Inc"
"2023","Youth and Community Development (Department of)","Manhattan Youth Recreation and Resources, Inc."
"2023","Youth and Community Development (Department of)","Maspeth Town Hall, Inc."
"2023","Youth and Community Development (Department of)","Mosholu Montefiore Community Center, Inc."
"2023","Youth and Community Development (Department of)","New York Edge, Inc."
"2023","Youth and Community Development (Department of)","New York Junior Tennis League Inc"
"2023","Youth and Community Development (Department of)","Northside Center For Child Development, Inc."
"2023","Youth and Community Development (Department of)","OPUS Dance Theatre and Community Services Inc"
"2023","Youth and Community Development (Department of)","Phipps Neighborhoods, Inc."
"2023","Youth and Community Development (Department of)","Police Athletic League, Inc."
"2023","Youth and Community Development (Department of)","Research Foundation of CUNY"
"2023","Youth and Community Development (Department of)","RiseBoro Community Partnership Inc"
"2023","Youth and Community Development (Department of)","Riverdale Community Center, Inc."
