"year","agency","name_of_not_for_profit"
"2019","Borough President - Queens","National Hispanic Business Group 34th Annual Gala & Scholarship Presentation - The Voyage Awards"
"2019","Borough President - Queens","Russian American Foundation's 17th Annual Russian Heritage Month"
"2019","Borough President - Queens","New American Voters Association 12th Annual Dinner Dance"
"2019","Borough President - Queens","United Jewish Appeal - Federation of New York's Hospitality Division's Cocktail Reception"
"2019","Borough President - Queens","United Jewish Appeal - Federation of New York's Wine & Spirits Division Annual Dinner"
"2019","Borough President - Queens","United Jewish Appeal - Federation of New York Marketing Communications Division's Global Marketing Leadership Award Celebration"
"2019","Borough President - Queens","Yeshiva Ohr Yisrael 20th Annual Dinner"
"2019","Borough President - Queens","United Jewish Appeal - Federation of New York's Fashion Division's Leadership Awards"
"2019","Borough President - Queens","Brooklyn Community Pride Center 2019 Community Leadership Awards & Gala"
"2019","Borough President - Queens","Museum of Chinese in America 8th Celebration of Community Heroes"
"2019","Borough President - Queens","United Jewish Appeal - Federation of New York Banking & Finance Division's Annual Dinner"
"2019","Borough President - Queens","United Jewish Appeal - Federation of New York's General Insurance Division's Annual Event"
"2019","Borough President - Queens","United Jewish Appeal - Federation of New York Annual Private Equity Recognition Event"
"2019","Borough President - Queens","Chinatown Partnership and Chinatown District Management Association 3rd Joint Annual Awards and Benefit Gala"
"2019","Borough President - Queens","ARC XVI Fort Washington's 46th Annual Fundraiser"
"2019","Borough President - Queens","Super Happy Healthy Kids 2019 Black Tie Gala"
"2019","Borough President - Queens","Downtown Brooklyn Neighborhood Alliance's Inaugural Fundrasier"
"2019","Borough President - Queens","Dominican Day Parade Gala"
"2019","Borough President - Queens","Asian American Insurance & Finance Professional Association Annual Convention and Gala Dinner"
"2019","Borough President - Queens","New York League of Puerto Rican Women 11th Anniversary Scholarship Gala"
"2019","Borough President - Queens","Chinese Business Association of New York 29th Anniversary and Inauguration Ceremony"
"2019","Borough President - Queens","Friends of Harlem Hospital Center 10th Annual Golf Outing and Fundraiser"
"2019","Borough President - Queens","American Food Merchants Alliance 4th Annual Fundraising Gala and Officers Installation Ceremony"
"2019","Borough President - Queens","Compact News 10th Anniversary"
"2019","Borough President - Queens","Jewish Community Council of the Rockaway Peninsula 47th Annual Legislative Breakfast"
"2019","Borough President - Queens","Staten Island Hindu Temple's Celebration of Prana Pratishtha Kumbhabhisheka Mahotsavam"
"2019","Borough President - Queens","SHARE Cancer Support Annual Benefit: A Second Helping of Life"
"2019","Borough President - Queens","Korean American Association of Queens  39th Annual Benefit Gala"
"2019","Borough President - Queens","Youxuan Wu's Progressive in Calligraphy Art Exhibition"
"2019","Borough President - Queens","Beijing Association of New York and the New York Chinese Business Association's Golden Night Concert"
"2019","Borough President - Queens","Chinese-American Planning Council  Brooklyn Community Services 40th Anniversary Dinner Gala of 2019"
"2019","Borough President - Queens","Algemeiner 6th Annual J100 Gala"
"2019","Borough President - Queens","Queens Jewish Community Council 50th Anniversary Dinner Gala"
"2019","Borough President - Queens","Person Centered Care Services We Are One Gala"
"2019","Borough President - Queens","NAACP Mid-Manhattan Branch 18th  Annual Freedom Fund Luncheon"
"2019","Borough President - Queens","Neighborhood Association for Inter-Cultural Affairs 1st Annual Gala"
"2019","Borough President - Queens","NAACP Williamsbridge Branch 61st Annual Freedom Fund Dinner"
"2019","Borough President - Queens","West Indian American Day Carnival Association 52nd Anniversary Parade and Festival"
"2019","Borough President - Queens","New York Asian American Realtors Association 2019 Anniversary Dinner and Fundraiser"
"2019","Borough President - Queens","NYC Health + Hospitals Gouverneur 134th Anniversary Annual Gala"
"2019","Borough President - Queens","Rabbinical Alliance of America 77th Anniversary Celebration and 32nd Annual Chai Elul Siyum HaShas"
"2019","Borough President - Queens","Urban Upbound 2019 Gala: Real Results for Real People"
"2019","Borough President - Queens","Weekly Ajkal 12th Anniversary"
"2019","Borough President - Queens","Muktadhara Foundation Bangladeshi Immigrant Day Parade 2019"
"2019","Borough President - Queens","Chinese American Medical Society 56th Annual Scientific Conference and Red Lantern Gala"
"2019","Borough President - Queens","Northern Manhattan Improvement Corporation 40th Anniversary Benefit"
"2019","Borough President - Queens","Romi Cohn and Friends' Celebration of Ribnitzer Rebbe"
"2019","Borough President - Queens","St. Andrew Technical High School Alumni Association, North East Chapter 14th Annual Fundraising Ball"
"2019","Borough President - Queens","Sylvia & Herbert Woods Scholarship Fund 18th Annual Scholarship Fund Gala"
"2019","Borough President - Queens","United Chinese Association of Brooklyn 17th Anniversary Fundraising Gala"
"2019","Borough President - Queens","Latino Lawyers Association of Queens County 23rd Annual Awards Dinner Dance"
"2019","Borough President - Queens","National Association of Minority Contractors New York Tri-State Chapter Unity in Diversity Gala"
"2019","Borough President - Queens","Association of Indians in America New York Chapter's 32nd Deepavali Festival"
"2019","Borough President - Queens","Peace Action Fund of New York State William Sloan Coffin Jr. Peacemaker Awards"
"2019","Borough President - Queens","Unique People Services 28th Anniversary Gala"
"2019","Borough President - Queens","Brooklyn Community Improvement Association 13th Anniversary Dinner Gala"
"2019","Borough President - Queens","American Buddhist Confederation Second Three-Nation Buddhist Forum: China, USA, and Canada"
"2019","Borough President - Queens","Department of Sanitation Columbia Association 55th Annual Dinner Dance Award Ceremony"
"2019","Borough President - Queens","Jackson Heights Merchants Association Diwali Mela"
"2019","Borough President - Queens","Visiting Nurse Service of New York 2019 Benefit Dinner"
"2019","Borough President - Queens","Urban Health Plan 45th Anniversary"
"2019","Borough President - Queens","New York Dominican Officers Organization 26th Anniversary Dinner Dance"
"2019","Borough President - Queens","Korean American Civic Empowerment 23rd Anniversary Gala"
"2019","Borough President - Queens","Jamaica Progressive League 83rd Anniversary Luncheon"
"2019","Borough President - Queens","Sriniketan Foundation Sangeet Mahotsav 2019"
"2019","Borough President - Queens","Community Voices Heard 25th Anniversary Shirley Chisholm 2019 Lights of Freedom Awards Reception"
"2019","Borough President - Queens","Garibaldi-Meucci Museum 31st Annual Fundraiser"
"2019","Borough President - Queens","BronxNet 25th Anniersary Celebration"
"2019","Borough President - Queens","Museum of Chinese in America  2019 Legacy Awards Gala"
"2019","Borough President - Queens","Coalition for Asian American Children and Families Catalyst for Change 2019 Awards Gala"
"2019","Borough President - Queens","HANAC 47th Anniversary Gala"
"2019","Borough President - Queens","Battalion Pentecostal Assembly Church 35th Anniversary Celebration"
"2019","Borough President - Queens","New York Building Congress 2019 Industry Recognition Gala"
